         ps       /tl_tb/tb_dut/x_servo                     /tl_tb/tb_dut/z_servo      
          delta                        /tl_tb/tb_dut/y_servo                           
 5050081100  +4    00010010111010111111 00010011011101101110 00001001110001000000 
 5062581300  +4    00010010110011111110 00010011011011110110 00001001110001000000 
 5075081500  +4    00010010101100111100 00010011011001111101 00001001110001000000 
 5087581700  +4    00010010100110101100 00010011010111110010 00001001110001000000 
 5100081900  +4    00010010100000011100 00010011010101100111 00001001110001000000 
 5112582100  +4    00010010011010001100 00010011010011011011 00001001110001000000 
 5125082300  +4    00010010010011111100 00010011010001010000 00001001110001000000 
 5137582500  +4    00010010001101101100 00010011001111000100 00001001110001000000 
 5150082700  +4    00010010000111011011 00010011001100111001 00001001110001000000 
 5162582900  +4    00010010000001001011 00010011001010101101 00001001110001000000 
 5175083100  +4    00010001111010111011 00010011001000100010 00001001110001000000 
 5187583300  +4    00010001110100101011 00010011000110010111 00001001110001000000 
 5200083500  +4    00010001101110011011 00010011000100001011 00001001110001000000 
 5212583700  +4    00010001101000001011 00010011000010000000 00001001110001000000 
 5225083900  +4    00010001100001111011 00010010111111110100 00001001110001000000 
 5237584100  +4    00010001011011101011 00010010111101101001 00001001110001000000 
 5250084300  +4    00010001010101011010 00010010111011011101 00001001110001000000 
 5262584500  +4    00010001001111001010 00010010111001010010 00001001110001000000 
 5275084700  +4    00010001001001111000 00010010110110110010 00001001110001000000 
 5287584900  +4    00010001000100100101 00010010110100010001 00001001110001000000 
 5300085100  +4    00010000111111010010 00010010110001110001 00001001110001000000 
 5312585300  +4    00010000111001111111 00010010101111010001 00001001110001000000 
 5325085500  +4    00010000110100101100 00010010101100110000 00001001110001000000 
 5337585700  +4    00010000101111011001 00010010101010010000 00001001110001000000 
 5350085900  +4    00010000101010000111 00010010100111110000 00001001110001000000 
 5362586100  +4    00010000100100110100 00010010100101001111 00001001110001000000 
 5375086300  +4    00010000011111100001 00010010100010101111 00001001110001000000 
 5387586500  +4    00010000011010001110 00010010100000001111 00001001110001000000 
 5400086700  +4    00010000010100111011 00010010011101101110 00001001110001000000 
 5412586900  +4    00010000001111101001 00010010011011001110 00001001110001000000 
 5425087100  +4    00010000001010010110 00010010011000101110 00001001110001000000 
 5437587300  +4    00010000000101000011 00010010010110001110 00001001110001000000 
 5450087500  +4    00001111111111110000 00010010010011101101 00001001110001000000 
 5462587700  +4    00010000000101000011 00010010010001001101 00001001110001000000 
 5475087900  +4    00010000001010010110 00010010001110101101 00001001110001000000 
 5487588100  +4    00010000001111101001 00010010001100001100 00001001110001000000 
 5500088300  +4    00010000010100111011 00010010001001101100 00001001110001000000 
 5512588500  +4    00010000011010001110 00010010000111001100 00001001110001000000 
 5525088700  +4    00010000011111100001 00010010000100101011 00001001110001000000 
 5537588900  +4    00010000100100110100 00010010000010001011 00001001110001000000 
 5550089100  +4    00010000101010000111 00010001111111101011 00001001110001000000 
 5562589300  +4    00010000101111011001 00010001111101001010 00001001110001000000 
 5575089500  +4    00010000110100101100 00010001111010101010 00001001110001000000 
 5587589700  +4    00010000111001111111 00010001111000001010 00001001110001000000 
 5600089900  +4    00010000111111010010 00010001110101101001 00001001110001000000 
 5612590100  +4    00010001000100100101 00010001110011001001 00001001110001000000 
 5625090300  +4    00010001001001111000 00010001110000101001 00001001110001000000 
 5637590500  +4    00010001001111001010 00010001101110001001 00001001110001000000 
 5650090700  +4    00010001010101011010 00010001101011111101 00001001110001000000 
 5662590900  +4    00010001011011101011 00010001101001110010 00001001110001000000 
 5675091100  +4    00010001100001111011 00010001100111100110 00001001110001000000 
 5687591300  +4    00010001101000001011 00010001100101011011 00001001110001000000 
 5700091500  +4    00010001101110011011 00010001100011001111 00001001110001000000 
 5712591700  +4    00010001110100101011 00010001100001000100 00001001110001000000 
 5725091900  +4    00010001111010111011 00010001011110111000 00001001110001000000 
 5737592100  +4    00010010000001001011 00010001011100101101 00001001110001000000 
 5750092300  +4    00010010000111011011 00010001011010100010 00001001110001000000 
 5762592500  +4    00010010001101101100 00010001011000010110 00001001110001000000 
 5775092700  +4    00010010010011111100 00010001010110001011 00001001110001000000 
 5787592900  +4    00010010011010001100 00010001010011111111 00001001110001000000 
 5800093100  +4    00010010100000011100 00010001010001110100 00001001110001000000 
 5812593300  +4    00010010100110101100 00010001001111101000 00001001110001000000 
 5825093500  +4    00010010101100111100 00010001001101011101 00001001110001000000 
 5837593700  +4    00010010110011111110 00010001001011100101 00001001110001000000 
 5850093900  +4    00010010111010111111 00010001001001101101 00001001110001000000 
 5862594100  +4    00010011000010000000 00010001000111110101 00001001110001000000 
 5875094300  +4    00010011001001000010 00010001000101111100 00001001110001000000 
 5887594500  +4    00010011010000000011 00010001000100000100 00001001110001000000 
 5900094700  +4    00010011010111000100 00010001000010001100 00001001110001000000 
